permission_id;permission_name;1_PROJECT_OWNER;2_PROJECT_ADMIN;3_PROJECT_MANAGER;4_PROJECT_WORKER;101_COMPANY_OWNER;102_COMPANY_ADMIN;103_COMPANY_WORKER
1;PROJECT_READ_LIST;1;1;1;1;1;1;
2;PROJECT_READ_DETAILS;1;1;1;1;;;
3;PROJECT_UPDATE;0;0;0;0;1;1;
4;PROJECT_ARCHIVE;1;0;0;0;;;
10;LOCATION_READ;1;1;1;1;;;
11;LOCATION_CREATE;1;1;1;0;;;
12;LOCATION_UPDATE;1;1;0;0;;;
13;LOCATION_ARCHIVE;1;1;0;0;;;
20;TASK_READ_LIST;1;1;OWN;OWN;;;
21;TASK_READ_DETAILS;1;1;OWN;OWN;;;
22;TASK_CREATE_UPDATE_MAIN;1;1;0;0;;;
23;TASK_CREATE_UPDATE_SUB;1;1;1;0;;;
24;TASK_REVIEW;0;0;OWN;0;;;
25;TASK_APPROVE_REJECT;1;1;0;0;;;
26;TASK_ARCHIVE_MAIN;1;1;0;0;;;
27;TASK_ARCHIVE_SUB;1;1;OWN;0;;;
30;WORKLOG_READ;1;1;1;OWN;;;
31;WORKLOG_START_STOP;1;1;1;OWN;;;
32;WORKLOG_UPDATE;1;1;1;OWN;;;
33;WORKLOG_ARCHIVE;1;1;1;0;;;
40;TASK_TEAM_SET_USER;1;1;OWN;0;;;
41;TASK_TEAM_ARCHIVE;1;1;OWN;0;;;
50;MEDIA_READ;1;1;1;1;;;
51;MEDIA_UPDATE;1;1;OWN;OWN;;;
52;MEDIA_ARCHIVE;1;1;OWN;OWN;;;
60;PROJECT_TEAM_ADD_COMPANY;1;1;0;0;;;
61;PROJECT_TEAM_INVITE_COMPANY;1;1;0;0;;;
62;PROJECT_TEAM_ARCHIVE_COMPANY;1;1;0;0;;;
63;PROJECT_TEAM_CHANGE_ADMIN_ROLE;1;0;0;0;;;
64;PROJECT_TEAM_CHANGE_NON_ADMIN_ROLE;OWN;OWN;OWN;0;;;
65;PROJECT_TEAM_ADD_USER;OWN;OWN;OWN;0;;;
66;PROJECT_TEAM_ARCHIVE_USER;OWN;OWN;OWN;0;;;
100;COMPANY_TEAM_READ_LIST;;;;;1;1;1
101;COMPANY_TEAM_READ_DETAILS;;;;;1;1;1
103;COMPANY_TEAM_INVITE_USER;;;;;1;1;0
104;COMPANY_TEAM_UPDATE;;;;;1;1;0
105;COMPANY_TEAM_MAKE_REVOKE_ADMIN;;;;;1;0;0
106;COMPANY_TEAM_ARCHIVE;;;;;1;1;0
120;COMPANY_READ_PROFILE;;;;;1;1;1
121;COMPANY_READ_FINANCIAL_DETAILS;;;;;1;1;1
122;COMPANY_LIST;;;;;1;1;0
123;COMPANY_INVITE;;;;;1;1;0
124;COMPANY_UPDATE;;;;;1;1;0
125;COMPANY_ARCHIVE;;;;;1;0;0
140;COMPANY_PROJECT_CREATE;;;;;1;1;0
